q,h(q)
-5,0.6057587339283468
-4,0.5906574580455566
-3,0.5773465155880462
-2,0.5672552421222025
-1,0.560620797904776
0,0.5554469250414386
1,0.5469201918789464
2,0.5293657138834257
3,0.5023651048584895
4,0.47284804683404347
5,0.44688752039836616
