Date,Close,High,Low,Open,Volume
2013-03-05,1486.42004394531,1486.72998046875,1485.0400390625,1485.0400390625,0
2013-03-06,1491.48999023438,1498.02001953125,1485.0400390625,1485.0400390625,0
2013-03-07,1491.34997558594,1498.2900390625,1489.02001953125,1491.98999023438,0
2013-03-11,1505.93005371094,1506.42004394531,1503.64001464844,1503.97998046875,0
2013-03-12,1499.73999023438,1501.41003417969,1499.38000488281,1501.41003417969,0
2013-03-13,1495.88000488281,1496.68005371094,1494.94995117188,1495.72998046875,0
2013-03-14,1502.52001953125,1502.52001953125,1498.18005371094,1498.82995605469,0
2013-03-15,1496.56994628906,1497.90002441406,1494.57995605469,1495.7099609375,0
2013-03-18,1462.56005859375,1464.55004882813,1461.35998535156,1461.88000488281,0
2013-03-19,1445.33996582031,1450.10998535156,1442.68005371094,1448.83996582031,0
2013-03-20,1458.7900390625,1461.35998535156,1457.93005371094,1458.23999023438,0
2013-03-21,1458.52001953125,1460.39001464844,1457.2900390625,1459.17004394531,0
2013-03-22,1440.98999023438,1442.88000488281,1439.56005859375,1441.26000976563,0
2013-03-26,1420.02001953125,1420.11999511719,1416.78002929688,1416.78002929688,0
2013-03-27,1424.55004882813,1425.67004394531,1421.73999023438,1424.56005859375,0
2013-03-28,1436.61999511719,1437.5,1433.66003417969,1434.88000488281,0
2013-04-01,1427.7099609375,1429.56994628906,1427.01000976563,1428.2900390625,0
2013-04-02,1428.68005371094,1432.36999511719,1428.46997070313,1430.30004882813,0
2013-04-03,1420.9599609375,1428.02001953125,1420.9599609375,1427.42004394531,0
2013-04-04,1427.96997070313,1427.96997070313,1425.07995605469,1426.60998535156,0
2013-04-05,1417.66003417969,1418.56005859375,1416.5,1417.28002929688,0
2013-04-08,1411.2900390625,1411.52001953125,1408.81005859375,1408.81005859375,0
2013-04-09,1425.71997070313,1426.40002441406,1425.56005859375,1425.7900390625,0
2013-04-10,1426.93994140625,1427.07995605469,1423.97998046875,1425.18994140625,0
2013-04-11,1401.4599609375,1401.4599609375,1399.88000488281,1400.92004394531,0
2013-04-12,1386.56005859375,1387.93994140625,1385.4599609375,1385.61999511719,0
2013-04-15,1354.34997558594,1358.42004394531,1354.34997558594,1358.22998046875,0
2013-04-16,1354.43994140625,1354.67004394531,1352.78002929688,1353.41003417969,0
2013-04-17,1339.40002441406,1339.40002441406,1335.91003417969,1335.91003417969,0
2013-04-18,1336.18994140625,1336.32995605469,1334.52001953125,1335.56994628906,0
2013-04-19,1339.67004394531,1340.34997558594,1337.56994628906,1338.67004394531,0
2013-04-22,1336.80004882813,1338.64001464844,1335.89001464844,1337.21997070313,0
2013-04-23,1339.0400390625,1340.81994628906,1337.53002929688,1339.51000976563,0
2013-04-24,1377.94995117188,1378.66003417969,1377.31005859375,1377.32995605469,0
2013-04-25,1372.34997558594,1375.72998046875,1371.48999023438,1372.5,0
2013-04-26,1373.19995117188,1373.64001464844,1371.16003417969,1373.56994628906,0
2013-04-29,1363.09997558594,1363.58996582031,1361.89001464844,1363.38000488281,0
2013-04-30,1386.68994140625,1386.68994140625,1384.41003417969,1385.88000488281,0
2013-05-02,1382.13000488281,1382.5400390625,1377.14001464844,1377.44995117188,0
2013-05-03,1409.38000488281,1409.38000488281,1406.83996582031,1408.03002929688,0
2013-05-06,1413.9599609375,1414.02001953125,1411.91003417969,1413.02001953125,0
2013-05-07,1431.92004394531,1432.5,1428.7900390625,1430.11999511719,0
2013-05-08,1432.73999023438,1433.19995117188,1431.31005859375,1431.31005859375,0
2013-05-10,1426.83996582031,1427.03002929688,1426.25,1426.25,0
2013-05-13,1411.2099609375,1414.7900390625,1409.40002441406,1414.7900390625,0
2013-05-14,1405.77001953125,1407.52001953125,1405.47998046875,1405.65002441406,0
2013-05-15,1393.5400390625,1394.31005859375,1391.83996582031,1392.5400390625,0
2013-05-16,1373.93994140625,1374.55004882813,1373.53002929688,1373.53002929688,0
2013-05-17,1404.02001953125,1404.05004882813,1401.43005371094,1401.43005371094,0
2013-05-20,1406.9599609375,1407.91003417969,1406.61999511719,1406.93994140625,0
2013-05-21,1423.55004882813,1425.23999023438,1422.40002441406,1423.10998535156,0
2013-05-22,1444.22998046875,1449.61999511719,1444,1448.56005859375,0
2013-05-23,1399.43994140625,1399.56005859375,1397.75,1397.75,0
2013-05-24,1382.23999023438,1382.23999023438,1380.47998046875,1380.92004394531,0
2013-05-27,1378.64001464844,1378.66003417969,1378.06994628906,1378.25,0
2013-05-28,1393.82995605469,1397.5400390625,1392.48999023438,1397.5400390625,0
2013-05-29,1362.71997070313,1362.71997070313,1360.27001953125,1361.16003417969,0
2013-05-30,1361.18994140625,1362.36999511719,1361.06005859375,1362,0
2013-05-31,1343.98999023438,1350.17004394531,1343.98999023438,1350.17004394531,0
2013-06-03,1338.32995605469,1339.69995117188,1337.43994140625,1337.52001953125,0
2013-06-04,1341.64001464844,1342.78002929688,1340.78002929688,1341.32995605469,0
2013-06-05,1326.56994628906,1328.15002441406,1325.72998046875,1326.72998046875,0
2013-06-06,1320.94995117188,1320.94995117188,1315.42004394531,1316.31994628906,0
2013-06-07,1345.47998046875,1345.47998046875,1342.67004394531,1343.90002441406,0
2013-06-10,1337.7900390625,1337.7900390625,1334.65002441406,1335.25,0
2013-06-11,1302.93994140625,1302.93994140625,1301.4599609375,1302.52001953125,0
2013-06-13,1287.51000976563,1287.57995605469,1279.55004882813,1282.4599609375,0
2013-06-14,1300.80004882813,1302.33996582031,1298.56005859375,1300.02001953125,0
