Date,Close,High,Low,Open,Volume
2012-02-08,34226.73046875,34282.94140625,33974.44921875,33974.44921875,0
2012-02-09,34268.140625,34307.44921875,34041.671875,34226.73046875,0
2012-02-10,33892.578125,34268.140625,33829.7109375,34268.140625,0
2012-02-13,34207.4296875,34230.2109375,33892.578125,33892.578125,0
2012-02-14,34112.44140625,34245.91015625,34044.421875,34207.4296875,0
2012-02-15,34089.87109375,34300.5390625,34089.87109375,34112.44140625,0
2012-02-16,33801.640625,34089.87109375,33721.4296875,34089.87109375,0
2012-02-17,34082.78125,34117.41015625,33801.640625,33801.640625,0
2012-02-20,34106,34239.8984375,34082.78125,34082.78125,0
2012-02-21,34142.37109375,34192.46875,34078.87109375,34106,0
2012-02-22,34006.51953125,34249.2109375,33974.890625,34142.37109375,0
2012-02-23,34108.19921875,34230.0390625,34006.51953125,34006.51953125,0
2012-02-24,34260.76171875,34282.01953125,34104.08984375,34108.19921875,0
2012-02-27,33871.3203125,34260.76171875,33814.8203125,34260.76171875,0
2012-02-28,34214.53125,34214.53125,33871.3203125,33871.3203125,0
2012-02-29,34296,34372.53125,34207.421875,34214.53125,0
2012-03-01,34298.48046875,34298.48046875,33948.12109375,34296,0
2012-03-02,34186.80859375,34298.48046875,34023.12109375,34298.48046875,0
2012-03-05,34031.76953125,34186.80859375,33910.7109375,34186.80859375,0
2012-03-06,33387.0390625,34031.76953125,33330.33984375,34031.76953125,0
2012-03-07,33592.3203125,33685.921875,33387.0390625,33387.0390625,0
2012-03-08,33758.62109375,33841.3203125,33563.0703125,33592.3203125,0
2012-03-09,33926.19921875,33926.19921875,33758.62109375,33758.62109375,0
2012-03-12,33901.71875,34077.078125,33821.12109375,33926.19921875,0
2012-03-13,34175.390625,34239.4609375,33901.71875,33901.71875,0
2012-03-14,34426.73828125,34541.12890625,34175.390625,34175.390625,0
2012-03-15,34215.30078125,34601.26953125,34156.7109375,34426.73828125,0
2012-03-16,34221.62109375,34438.6015625,34215.30078125,34215.30078125,0
2012-03-19,34214.0703125,34312.609375,34035.16015625,34221.62109375,0
2012-03-20,33878.55859375,34214.0703125,33840.08984375,34214.0703125,0
2012-03-21,33878.55859375,33878.55859375,33878.55859375,33878.55859375,0
2012-03-22,33550.890625,33975.33984375,33493.6484375,33878.55859375,0
2012-03-23,33572.0703125,33672.421875,33323.26171875,33550.890625,0
2012-03-26,33664.4609375,33726.421875,33461.2109375,33572.0703125,0
2012-03-27,33858.21875,34010.87890625,33664.4609375,33664.4609375,0
2012-03-28,33621.9296875,33858.21875,33612.109375,33858.21875,0
2012-03-29,33483.26171875,33629.421875,33331.69140625,33621.9296875,0
2012-03-30,33554.2109375,33733.16015625,33483.26171875,33483.26171875,0
2012-04-02,33974.62890625,33974.62890625,33554.2109375,33554.2109375,0
2012-04-03,34192.19140625,34210.76171875,33948.46875,33974.62890625,0
2012-04-04,33404.3203125,34192.19140625,33404.3203125,34192.19140625,0
2012-04-05,33732.19921875,33732.19921875,33203.640625,33404.3203125,0
2012-04-10,33617.73828125,33787.12890625,33553.94140625,33732.19921875,0
2012-04-11,33632.76171875,33712.41015625,33458.51171875,33617.73828125,0
2012-04-12,33816.9609375,33816.9609375,33486.19140625,33632.76171875,0
2012-04-13,33705.03125,33882.609375,33579.05859375,33816.9609375,0
2012-04-16,33661.2109375,33766.26953125,33576.6015625,33705.03125,0
2012-04-17,33777.96875,33777.96875,33569.01171875,33661.2109375,0
2012-04-18,34050.23828125,34071.21875,33777.96875,33777.96875,0
2012-04-19,34106.921875,34224.62109375,34021.921875,34050.23828125,0
2012-04-20,34216.55078125,34257.12890625,33943.2890625,34106.921875,0
2012-04-23,33703.2109375,34216.55078125,33692.75,34216.55078125,0
2012-04-24,33820.87109375,33901.23828125,33703.2109375,33703.2109375,0
2012-04-25,34028.80859375,34065.5703125,33820.87109375,33820.87109375,0
2012-04-26,34251.4296875,34251.4296875,34028.80859375,34028.80859375,0
2012-04-27,34251.4296875,34251.4296875,34251.4296875,34251.4296875,0
2012-04-30,34399.0390625,34456.3515625,34251.4296875,34251.4296875,0
2012-05-01,34399.0390625,34399.0390625,34399.0390625,34399.0390625,0
2012-05-02,34482.4296875,34647.73046875,34369.328125,34399.0390625,0
2012-05-03,34375.51171875,34583.359375,34340.5390625,34482.4296875,0
2012-05-04,34127.28125,34375.51171875,34126.2109375,34375.51171875,0
2012-05-07,33956.078125,34127.28125,33711.78125,34127.28125,0
2012-05-08,33547.76953125,33956.078125,33547.76953125,33956.078125,0
2012-05-09,33434.0390625,33637.53125,33307.96875,33547.76953125,0
2012-05-10,33869.7109375,33894.8984375,33434.0390625,33434.0390625,0
2012-05-11,34038.4609375,34038.4609375,33709.23046875,33869.7109375,0
2012-05-14,33533.55859375,34038.4609375,33467.0703125,34038.4609375,0
2012-05-15,33486.078125,33833.05078125,33360.30859375,33533.55859375,0
2012-05-16,33794.71875,33859.05859375,33006.171875,33486.078125,0
2012-05-17,33538.921875,33794.71875,33289.828125,33794.71875,0
2012-05-18,33148.390625,33538.921875,33063.078125,33538.921875,0
2012-05-21,33086,33188.26171875,32996.80078125,33148.390625,0
2012-05-22,33488.140625,33513.80859375,33086,33086,0
2012-05-23,32887.44921875,33488.140625,32887.44921875,33488.140625,0
2012-05-24,33046.12890625,33160.37109375,32884.921875,32887.44921875,0
2012-05-25,32992.25,33200.1484375,32730.919921875,33046.12890625,0
2012-05-28,33104.05859375,33328.51953125,32992.25,32992.25,0
2012-05-29,33440.19921875,33440.19921875,33104.05859375,33104.05859375,0
2012-05-30,32968.80859375,33440.19921875,32956.46875,33440.19921875,0
2012-05-31,33142.609375,33298.12890625,32968.80859375,32968.80859375,0
2012-06-01,33107.4609375,33215.62109375,32908.359375,33142.609375,0
2012-06-06,33603.3515625,33603.3515625,33117.8515625,33117.8515625,0
2012-06-07,33904.859375,34047.33984375,33559.51953125,33603.3515625,0
2012-06-08,33665.7109375,33904.859375,33549.05078125,33904.859375,0
2012-06-11,33616.5703125,34053.12890625,33616.5703125,33665.7109375,0
2012-06-12,33855.4609375,33855.4609375,33491.359375,33616.5703125,0
2012-06-13,34037.828125,34037.828125,33802.98828125,33855.4609375,0
2012-06-14,33826.01171875,34037.828125,33678.55078125,34037.828125,0
2012-06-15,33959.87109375,34003.53125,33794.58984375,33826.01171875,0
2012-06-18,34438.76171875,34502.3984375,33959.87109375,33959.87109375,0
2012-06-19,34714.05859375,34714.05859375,34371.7890625,34438.76171875,0
