q,h(q),τ(q)
-5,0.5447529176377064,-3.7237645881885317
-4,0.5240840575572603,-3.096336230229041
-3,0.5026694213880237,-2.5080082641640713
-2,0.48234199534381444,-1.9646839906876288
-1,0.46304074453833977,-1.4630407445383398
0,0.44359623524739933,-1.0
1,0.42294730431144373,-0.5770526956885562
2,0.40020697121418114,-0.19958605757163772
3,0.37480025914583887,0.12440077743751665
4,0.3477414409147071,0.3909657636588284
5,0.32183792301439984,0.6091896150719993
