q,h(q),τ(q),α(q),f(α)
-5.0,0.565882856750225,-3.8294142837511247,0.6376639790826627,0.6410943883378111
-4.8,0.56289197665304,-3.701881487934592,0.6355773733375738,0.651110095914238
-4.6,0.5598224640034988,-3.5751833344160944,0.6312676107235724,0.6713523250876614
-4.3999999999999995,0.5566760099193553,-3.449374443645163,0.6266810032543084,0.6919780293262061
-4.199999999999999,0.5534549840748503,-3.3245109331143707,0.6218115707932981,0.7129023357825193
-3.999999999999999,0.550162453831961,-3.2006498153278438,0.616656700479493,0.7340230134098724
-3.799999999999999,0.54680217182173,-3.0778482529225735,0.6112178304206486,0.7552204973241095
-3.5999999999999988,0.5433785230998845,-2.956162683159584,0.6055010311570799,0.7763589709940972
-3.3999999999999986,0.5398964236646301,-2.8356478404597416,0.5995173974289187,0.7972886892014186
-3.1999999999999984,0.5363611638087554,-2.7163557241880163,0.593283157714489,0.8178496195016522
-2.9999999999999982,0.5327781924579821,-2.5983345773739455,0.5868194160907718,0.8378763291016311
-2.799999999999998,0.5291528420541816,-2.4816279577517073,0.5801514620158228,0.8572038641074047
-2.599999999999998,0.5254899971413912,-2.366273992567616,0.5733076172455567,0.87567418772917
-2.3999999999999977,0.5217937128556189,-2.2523049108534843,0.5663176299544403,0.8931425989628288
-2.1999999999999975,0.5180667911753825,-2.13974694058584,0.5592106654675346,0.9094834765572652
-1.9999999999999973,0.5143103223332358,-2.0286206446664705,0.552012970433406,0.92459470379966
-1.7999999999999972,0.5105231957847105,-1.9189417524124774,0.544745293454806,0.9384002241938281
-1.599999999999997,0.5067015795528432,-1.8107225272845477,0.5374201245488601,0.9508503280063731
-1.3999999999999968,0.5028383589949534,-1.7039737025929331,0.5300387679511531,0.9619194274613204
-1.1999999999999966,0.49892251675340665,-1.5987070201040863,0.5225881922798941,0.9716011893682152
-0.9999999999999964,0.4949384256809771,-1.4949384256809752,0.5150375167018351,0.979900908979142
-0.7999999999999963,0.4908650167791922,-1.392692013423352,0.5073339004728648,0.986824893045062
-0.5999999999999961,0.4866747758197188,-1.2920048654918292,0.4993975161518489,0.9923663558007219
-0.3999999999999959,0.48233251740653543,-1.1929330069626123,0.4911152196505557,0.996486919102392
-0.19999999999999574,0.47779388815804374,-1.0955587776316067,0.4823325174065358,0.9990922741503016
4.440892098500626e-15,0.47909497816188545,-0.9999999999999979,0.4728435515729781,1.0
0.20000000000000462,0.46789321498791264,-0.9064213570024153,0.4623792475513371,0.9988972065126849
0.4000000000000048,0.4623792475513372,-0.8150483009794629,0.45059481727564266,0.9952862278897221
0.600000000000005,0.45636094984639936,-0.7261834300921581,0.43706001281504325,0.9884194377811862
0.8000000000000052,0.4497196301831903,-0.6402242958534454,0.42125951807836715,0.9772319103161413
1.0000000000000053,0.4423203771391865,-0.5576796228608112,0.4026168374754704,0.9602964603362838
1.2000000000000055,0.4340186992806171,-0.47917756086325713,0.3805611023669424,0.9358508837035902
1.4000000000000057,0.42467487006140253,-0.40545518191403407,0.35465563731218275,0.901973074151092
1.6000000000000059,0.41417793378850853,-0.3373153059383839,0.3247873087359662,0.8569749999159316
1.800000000000006,0.4024776342113056,-0.27554025841964747,0.29136744660334535,0.8000016623056708
2.000000000000006,0.38961583635147595,-0.22076832729704565,0.25543779330645117,0.7316439139099495
2.2000000000000064,0.37574311768315033,-0.1733651410970669,0.2185702595073472,0.6542197120132321
2.4000000000000066,0.3611082402107879,-0.13334022349410668,0.18254812349686939,0.5714557198865944
2.6000000000000068,0.346020810885261,-0.10034589169831909,0.1489635390790202,0.48765109330377265
2.800000000000007,0.3308018543348211,-0.07375480786249855,0.11892227040208914,0.40673716498834894
3.000000000000007,0.3157410054875048,-0.05277698353748339,0.0929565231442812,0.33164655297032763
3.2000000000000064,0.30107118793600374,-0.03657219860478611,0.0711112295041952,0.2641281330182112
3.4000000000000075,0.28696103184240956,-0.024332491735805317,0.05310501760876745,0.20488955160561503
3.6000000000000085,0.2735193912329774,-0.015330191561279016,0.038485367449097765,0.1538775143780313
3.800000000000008,0.2608056987483768,-0.008938344756166172,0.026742798515273877,0.11056097911420712
4.000000000000007,0.24884173196120718,-0.004633072155169504,0.017381174332241088,0.07415776948413398
4.200000000000008,0.23762241070874485,-0.0019858750232697453,0.009954128775232442,0.04379321587924608
4.400000000000009,0.2271246771261185,-0.0006514206450765059,0.004079253676806644,0.01860013682302578
4.6000000000000085,0.21731431009727198,-0.00035417355254707683,-0.0005606951609590813,-0.002225024187864702
4.800000000000008,0.20815089610219548,-0.0008756987094601376,-0.002607625784565313,-0.011640905056453385
