q,h(q)
-5,0.660997731898635
-4,0.6451517351386866
-3,0.6289432287112386
-2,0.61354022289199
-1,0.599845736909391
0,0.5883506859295993
1,0.5785250382645984
2,0.5680433108669429
3,0.5555079888295082
4,0.5420417056054793
5,0.529066106611586
