Date,Open,High,Low,Close,Volume
1980-01-01,106.5,106.5,106.5,106.5,0.0
1980-02-01,106.5,108.43,105.29,105.76,0.0
1980-03-01,105.76,106.08,103.26,105.22,0.0
1980-04-01,106.23,107.08,105.09,106.52,0.0
1980-05-01,106.52,106.52,106.52,106.52,0.0
1980-06-01,106.52,106.52,106.52,106.52,0.0
1980-07-01,106.8,107.8,105.8,106.81,0.0
1980-08-01,108.17,109.29,106.29,108.95,0.0
1980-09-01,109.51,111.09,108.41,109.05,0.0
1980-10-01,109.74,110.86,108.47,109.89,0.0
1980-11-01,109.99,111.16,108.89,109.92,0.0
1980-12-01,109.92,109.92,109.92,109.92,0.0
,109.92,109.92,109.92,109.92,0.0
,110.38,111.44,109.34,110.38,0.0
,110.84,111.93,109.45,111.14,0.0
,111.44,112.9,110.38,111.05,0.0
,110.84,112.01,109.81,110.7,0.0
,110.89,111.74,109.88,111.07,0.0
,111.07,111.07,111.07,111.07,0.0
,111.07,111.07,111.07,111.07,0.0
,111.88,112.9,110.66,112.1,0.0
,111.84,113.1,110.92,111.51,0.0
,112.76,113.93,110.93,113.44,0.0
,113.97,115.27,112.95,113.7,0.0
,113.47,114.45,112.36,113.61,0.0
,113.61,113.61,113.61,113.61,0.0
,113.61,113.61,113.61,113.61,0.0
,114.47,115.65,112.93,114.85,0.0
,114.29,115.77,113.03,114.07,0.0
,114.8,115.85,113.37,115.2,0.0
,114.7,115.85,113.13,115.12,0.0
1980-01-02,114.59,115.54,113.13,115.12,0.0
1980-02-02,115.12,115.12,115.12,115.12,0.0
1980-03-02,115.12,115.12,115.12,115.12,0.0
1980-04-02,114.73,116.01,113.83,114.37,0.0
1980-05-02,114.02,115.25,112.15,114.66,0.0
1980-06-02,115.31,116.57,113.65,115.72,0.0
1980-07-02,116.38,117.67,115.22,116.26,0.0
1980-08-02,117.44,118.66,115.72,117.95,0.0
1980-09-02,117.95,117.95,117.95,117.95,0.0
1980-10-02,117.95,117.95,117.95,117.95,0.0
1980-11-02,117.49,119.05,116.31,117.12,0.0
1980-12-02,117.35,118.41,115.75,117.9,0.0
,118.74,120.22,117.57,118.44,0.0
,117.35,119.3,116.04,116.72,0.0
,115.41,116.7,114.12,115.41,0.0
,115.41,115.41,115.41,115.41,0.0
,115.41,115.41,115.41,115.41,0.0
,115.41,115.41,115.41,115.41,0.0
,114.54,115.67,113.35,114.6,0.0
,115.9,117.18,114.06,116.47,0.0
,115.87,117.9,114.44,115.28,0.0
,115.28,116.46,113.43,115.04,0.0
,115.04,115.04,115.04,115.04,0.0
,115.04,115.04,115.04,115.04,0.0
,113.62,114.93,112.62,113.33,0.0
,113.68,114.76,112.3,113.98,0.0
,113.13,115.12,111.91,112.38,0.0
,112.46,113.7,111.33,112.35,0.0
,113.18,114.12,111.77,113.66,0.0
1980-01-03,113.66,113.66,113.66,113.66,0.0
1980-02-03,113.66,113.66,113.66,113.66,0.0
1980-03-03,112.95,114.34,112.01,112.5,0.0
1980-04-03,112.33,113.41,110.83,112.76,0.0
1980-05-03,111.88,113.94,110.58,111.13,0.0
1980-06-03,109.26,111.29,107.85,108.65,0.0
1980-07-03,107.28,108.96,105.99,106.9,0.0
1980-08-03,106.9,106.9,106.9,106.9,0.0
1980-09-03,106.9,106.9,106.9,106.9,0.0
1980-10-03,106.43,107.86,104.92,106.51,0.0
1980-11-03,106.53,107.78,106.18,107.78,0.0
1980-12-03,106.89,108.4,105.42,106.87,0.0
,106.09,107.55,105.1,105.62,0.0
,105.31,106.49,104.01,105.43,0.0
,105.43,105.43,105.43,105.43,0.0
,105.43,105.43,105.43,105.43,0.0
,103.1,105.23,101.82,102.26,0.0
,103.31,104.71,101.14,104.1,0.0
,104.1,105.72,103.35,104.31,0.0
,103.6,105.17,102.52,103.12,0.0
,102.53,103.73,101.55,102.31,0.0
,102.31,102.31,102.31,102.31,0.0
,102.31,102.31,102.31,102.31,0.0
,100.11,102.18,98.88,99.28,0.0
,99.22,100.58,97.89,99.19,0.0
,99.33,101.22,98.1,98.68,0.0
,97.34,99.58,94.23,98.22,0.0
,99.94,101.43,97.72,100.68,0.0
,100.68,100.68,100.68,100.68,0.0
,100.68,100.68,100.68,100.68,0.0
,101.58,102.65,100.02,102.09,0.0
1980-01-04,102.1,103.28,100.85,102.18,0.0
1980-02-04,102.66,103.87,101.45,102.68,0.0
1980-03-04,102.15,103.34,101.31,102.15,0.0
1980-04-04,102.15,102.15,102.15,102.15,0.0
1980-05-04,102.15,102.15,102.15,102.15,0.0
1980-06-04,102.15,102.15,102.15,102.15,0.0
1980-07-04,100.73,102.27,99.73,100.19,0.0
1980-08-04,100.77,101.88,99.23,101.2,0.0
1980-09-04,102.57,103.6,101.01,103.11,0.0
1980-10-04,103.96,105.0,102.81,104.08,0.0
1980-11-04,104.04,105.15,103.2,103.79,0.0
1980-12-04,103.79,103.79,103.79,103.79,0.0
,103.79,103.79,103.79,103.79,0.0
,102.94,103.92,102.08,102.84,0.0
,102.87,103.94,101.85,102.83,0.0
,102.36,104.42,101.13,101.54,0.0
,101.12,102.21,100.12,101.05,0.0
,100.86,102.07,99.97,100.55,0.0
,100.55,100.55,100.55,100.55,0.0
,100.55,100.55,100.55,100.55,0.0
,100.0,101.26,98.95,99.8,0.0
,102.75,104.02,100.81,103.43,0.0
,103.88,105.11,102.81,103.73,0.0
,104.25,105.43,102.93,104.4,0.0
,104.58,105.57,103.02,105.16,0.0
,105.16,105.16,105.16,105.16,0.0
,105.16,105.16,105.16,105.16,0.0
,105.69,106.79,104.64,105.64,0.0
,105.8,106.7,104.86,105.86,0.0
,105.83,106.72,104.5,106.29,0.0
1980-01-05,105.68,106.86,104.72,105.46,0.0
1980-02-05,105.48,106.25,104.61,105.58,0.0
1980-03-05,105.58,105.58,105.58,105.58,0.0
1980-04-05,105.58,105.58,105.58,105.58,0.0
1980-05-05,105.95,106.83,104.64,106.38,0.0
1980-06-05,106.48,107.83,105.36,106.25,0.0
1980-07-05,107.04,108.12,105.83,107.18,0.0
1980-08-05,105.88,106.13,105.5,106.13,0.0
1980-09-05,105.03,106.2,104.18,104.72,0.0
1980-10-05,104.72,104.72,104.72,104.72,0.0
1980-11-05,104.72,104.72,104.72,104.72,0.0
1980-12-05,104.58,105.48,103.5,104.78,0.0
,105.83,106.76,104.44,106.3,0.0
,106.91,107.89,106.0,106.85,0.0
,107.01,107.99,106.07,106.99,0.0
,107.16,107.89,106.25,107.35,0.0
,107.35,107.35,107.35,107.35,0.0
,107.35,107.35,107.35,107.35,0.0
,107.6,108.43,106.51,107.87,0.0
,107.58,108.39,106.75,107.62,0.0
,107.52,108.31,106.54,107.72,0.0
,108.69,109.73,107.34,109.01,0.0
,110.33,111.37,109.01,110.62,0.0
,110.62,110.62,110.62,110.62,0.0
,110.62,110.62,110.62,110.62,0.0
,110.62,110.62,110.62,110.62,0.0
,112.84,113.69,111.99,112.66,0.0
,111.73,112.72,110.42,112.06,0.0
,110.92,112.64,109.86,110.27,0.0
,110.55,111.55,108.87,111.24,0.0
,111.24,111.24,111.24,111.24,0.0
1980-01-06,111.24,111.24,111.24,111.24,0.0
1980-02-06,110.99,112.15,110.06,110.76,0.0
1980-03-06,112.02,113.05,110.98,111.86,0.0
1980-04-06,112.09,113.45,110.22,112.61,0.0
1980-05-06,113.01,114.38,111.89,112.78,0.0
1980-06-06,113.1,114.01,112.11,113.2,0.0
1980-07-06,113.2,113.2,113.2,113.2,0.0
1980-08-06,113.2,113.2,113.2,113.2,0.0
1980-09-06,113.63,114.51,112.68,113.71,0.0
1980-10-06,114.45,115.5,113.17,114.68,0.0
1980-11-06,116.29,118.02,114.22,118.02,0.0
1980-12-06,115.6,117.01,114.28,115.52,0.0
,115.64,116.94,114.67,115.31,0.0
,115.31,115.31,115.31,115.31,0.0
,115.31,115.31,115.31,115.31,0.0
,115.89,116.8,114.78,116.09,0.0
,116.1,117.16,115.13,116.03,0.0
,115.04,116.84,114.77,116.26,0.0
,115.28,116.81,114.36,114.68,0.0
,114.02,114.9,113.12,114.06,0.0
,114.06,114.06,114.06,114.06,0.0
,114.06,114.06,114.06,114.06,0.0
,114.38,115.28,113.35,114.51,0.0
,114.88,115.75,113.76,115.14,0.0
,116.38,117.37,115.07,116.72,0.0
,116.58,117.98,115.58,116.19,0.0
,115.99,116.93,115.06,116.0,0.0
,116.0,116.0,116.0,116.0,0.0
,116.0,116.0,116.0,116.0,0.0
,114.61,116.04,113.55,114.24,0.0
1980-01-07,114.64,115.45,113.54,114.93,0.0
1980-02-07,115.49,116.44,114.36,115.68,0.0
1980-03-07,116.92,117.8,115.49,117.48,0.0
1980-04-07,117.48,117.48,117.48,117.48,0.0
1980-05-07,117.48,117.48,117.48,117.48,0.0
1980-06-07,117.48,117.48,117.48,117.48,0.0
1980-07-07,118.03,118.85,116.96,118.29,0.0
1980-08-07,118.0,119.11,117.07,117.84,0.0
1980-09-07,118.2,119.52,117.1,117.98,0.0
1980-10-07,117.3,118.57,116.38,116.95,0.0
1980-11-07,117.5,118.38,116.29,117.84,0.0
