q,h(q)
-5,0.565882856750225
-4,0.550162453831961
-3,0.5327781924579821
-2,0.5143103223332358
-1,0.49493842568097696
0,0.4730035706597137
1,0.4423203771391865
2,0.3896158363514767
3,0.31574100548750533
4,0.24884173196120718
5,0.19959130470704853
