q,h(q),τ(q)
-5,0.6057587339283468,-4.028793669641734
-4,0.5906574580455566,-3.3626298321822263
-3,0.5773465155880462,-2.7320395467641383
-2,0.5672552421222025,-2.134510484244405
-1,0.560620797904776,-1.5606207979047761
0,0.5554469250414386,-1.0
1,0.5469201918789464,-0.45307980812105364
2,0.5293657138834257,0.05873142776685136
3,0.5023651048584895,0.5070953145754684
4,0.47284804683404347,0.8913921873361739
5,0.44688752039836616,1.2344376019918308
