q,h(q)
-5,0.5447529176377064
-4,0.5240840575572603
-3,0.5026694213880237
-2,0.48234199534381444
-1,0.46304074453833977
0,0.44359623524739933
1,0.42294730431144373
2,0.40020697121418114
3,0.37480025914583887
4,0.3477414409147071
5,0.32183792301439984
