q,h(q),τ(q)
-5,0.6226939086911625,-4.113469543455812
-4,0.6111564724240882,-3.444625889696353
-3,0.598707770379943,-2.796123311139829
-2,0.5857036974989225,-2.171407394997845
-1,0.5725757904879754,-1.5725757904879754
0,0.5595998593799887,-1.0
1,0.545668764159987,-0.454331235840013
2,0.5262919212607482,0.05258384252149639
3,0.4984194477251459,0.4952583431754376
4,0.4672149430439442,0.8688597721757767
5,0.43907810980385087,1.1953905490192542
