q,h(q),τ(q),α(q),f(α)
-5.0,0.6057587339283468,-4.028793669641734,0.6796854442787653,0.6303664482479077
-4.8,0.6026784543304128,-3.892856580785981,0.6764188103648987,0.6460462910344673
-4.6,0.5996143794556033,-3.7582261454957746,0.6697599279979656,0.6773304767051331
-4.3999999999999995,0.5965801385424534,-3.6249526095867948,0.6628728944355302,0.7083118740704624
-4.199999999999999,0.5935897589813243,-3.4930769877215617,0.655806943511422,0.73868782497359
-3.999999999999999,0.5906574580455566,-3.362629832182226,0.6486170731559433,0.7681615395584531
-3.799999999999999,0.5877974101208381,-3.2336301584591842,0.6413631924342775,0.7964500272089303
-3.5999999999999988,0.5850234875579209,-3.1060845552085143,0.6341091063555062,0.8232917723286928
-3.3999999999999986,0.5823489752697008,-2.979986515916982,0.6269212904840886,0.8484541282710816
-3.1999999999999984,0.5797862621921499,-2.8553160390148786,0.6198674228821126,0.8717402857921193
-2.9999999999999982,0.5773465155880458,-2.7320395467641365,0.6130146777945189,0.8929955133805809
-2.799999999999998,0.5750393456775258,-2.610110167897071,0.6064278283738602,0.9121122484502637
-2.599999999999998,0.5728724674671514,-2.489468415414592,0.6001672358838439,0.9290336021165992
-2.3999999999999977,0.5708513639764726,-2.370043273543533,0.5942868066473279,0.9437549375899474
-2.1999999999999975,0.5689789512525736,-2.2517536927556607,0.5888319732478235,0.9563233516104503
-1.9999999999999973,0.5672552421222025,-2.1345104842444034,0.5838377132464565,0.9668350577514919
-1.7999999999999972,0.5656770041428221,-2.018218607457078,0.5793265752620016,0.9754307719854769
-1.599999999999997,0.5642374088372527,-1.9027798541396026,0.5753066581816135,0.9822892010490227
-1.3999999999999968,0.5629256744174529,-1.7880959441844322,0.5717694983485178,0.9876186464965091
-1.1999999999999966,0.5617267123334977,-1.6740720548001953,0.5686878656991454,0.9916466159612227
-0.9999999999999964,0.560620797904776,-1.560620797904774,0.5660135462299372,0.9946072516748388
-0.7999999999999963,0.559583295385278,-1.4476666363082202,0.5636752799767266,0.9967264123268411
-0.5999999999999961,0.5585844765234755,-1.3351506859140831,0.5615771127898661,0.9982044182401657
-0.3999999999999959,0.5575894779806895,-1.2230357911922736,0.5595974914008441,0.9991967946319382
-0.19999999999999574,0.5565584467687388,-1.1113116893537454,0.5575894779806898,0.9997937937576098
4.440892098500626e-15,0.5548364678085559,-0.9999999999999976,0.5553824871422939,1.0
0.20000000000000462,0.554206527515849,-0.8891586944968276,0.5527859672376745,0.9997158879443651
0.4000000000000048,0.5527859672376746,-0.7788856131049275,0.5495954662412188,0.9987237996014177
0.600000000000005,0.5511324866660957,-0.6693205080003398,0.5456015233930012,0.9966814220361433
0.8000000000000052,0.5491937453153379,-0.5606450037477269,0.5406017496982218,0.9931264035063071
1.0000000000000053,0.5469201918789462,-0.45307980812105086,0.5344161932053685,0.9874960013264222
1.2000000000000055,0.5442678946120147,-0.34687852646557926,0.5269055010297875,0.9791651277013271
1.4000000000000057,0.5412017087791866,-0.24231760770913569,0.5179904244424018,0.9675042019285012
1.6000000000000059,0.5376985270696115,-0.1396823566886184,0.5076699798469785,0.9519543244437869
1.800000000000006,0.5337502134609181,-0.03924961577034414,0.49603446113868277,0.9321116458199761
2.000000000000006,0.5293657138834258,0.058731427766854916,0.48326911771802106,0.9078068076691902
2.2000000000000064,0.5245718324167551,0.15405803131686446,0.46964528002979744,0.8791615847486929
2.4000000000000066,0.5194123082411545,0.24658953977877407,0.455498224296781,0.8466061985335034
2.6000000000000068,0.5139451234752206,0.33625732103557704,0.4411945473602077,0.8108485021009659
2.800000000000007,0.5082383424010192,0.4230673587228573,0.4270949838497359,0.7727985960564061
3.000000000000007,0.5023651048584893,0.5070953145754715,0.41352003150295147,0.7334647799333858
3.2000000000000064,0.49639855353876083,0.5884753713240378,0.4007247556038698,0.6938438466083481
3.4000000000000075,0.490407416710887,0.6673852168170196,0.38888619075047104,0.6548278317345848
3.6000000000000085,0.484452735451173,0.7440298476242271,0.3781031956376164,0.6171416566711951
3.800000000000008,0.47858591975580594,0.8186264950720663,0.3684058492798723,0.5813157321914513
4.000000000000007,0.472848046834043,0.8913921873361754,0.3597702501313096,0.5476888131890656
4.200000000000008,0.46727014169633013,0.9625345951245903,0.35213480890162163,0.5164316022622235
4.400000000000009,0.46187411611291374,1.0322461108968248,0.345415218681818,0.48758085130317763
4.6000000000000085,0.45667406143419864,1.1007006825973176,0.3395165879590376,0.4610756220142582
4.800000000000008,0.45167765543342414,1.1680527460804395,0.33676031741561097,0.4483967775144957
