q,h(q)
-5,0.6226939086911625
-4,0.6111564724240882
-3,0.598707770379943
-2,0.5857036974989225
-1,0.5725757904879754
0,0.5595998593799887
1,0.545668764159987
2,0.5262919212607482
3,0.4984194477251459
4,0.4672149430439442
5,0.43907810980385087
